speaker,ground,function,features,WER-r1,WER-r2,WER-r3,WER-mean,WER-stdev
assamese_female_english,all,FL2MI-n:1.0,39,19.48,18.57,19.31,19.12,0.48373546489791297
assamese_female_english,all,GCMI-n:1.0,39,19.09,18.49,19.09,18.89,0.34641016151377546
assamese_female_english,all,LogDMI-n:1.0,39,18.93,18.34,18.57,18.61,0.2966479394838265
kannada_male_english,all,FL2MI-n:1.0,39,14.15,14.15,14.42,14.24,0.15491933384829668
kannada_male_english,all,GCMI-n:1.0,39,13.52,13.36,12.84,13.24,0.35496478698597694
kannada_male_english,all,LogDMI-n:1.0,39,13.93,14.14,14.43,14.17,0.25099800796022265
malayalam_male_english,all,FL2MI-n:1.0,39,14.48,14.59,14.39,14.49,0.1
malayalam_male_english,all,GCMI-n:1.0,39,14.52,14.22,14.1,14.28,0.216794833886788
malayalam_male_english,all,LogDMI-n:1.0,39,14.58,14.87,15.62,15.02,0.5366563145999496
manipuri_female_english,all,FL2MI-n:1.0,39,40.91,41.12,41.38,41.14,0.2345207879911715
manipuri_female_english,all,GCMI-n:1.0,39,41.49,40.74,41.44,41.22,0.41952353926806063
manipuri_female_english,all,LogDMI-n:1.0,39,41.38,41.21,41.51,41.37,0.15165750888103102
rajasthani_male_english,all,FL2MI-n:1.0,39,14.5,14.78,14.51,14.6,0.15811388300841897
rajasthani_male_english,all,GCMI-n:1.0,39,14.0,14.62,14.52,14.38,0.3331666249791536
rajasthani_male_english,all,LogDMI-n:1.0,39,14.59,14.47,15.21,14.76,0.39749213828703583
